분류업종,세부업종,성별,전공,경력,경력연관성,경력직종,매출액
1,1,1,,1,1,4,2300
1,1,1,,1,1,5,230
1,1,1,,1,1,5,350
1,1,1,,1,3,4,100
1,1,1,,1,5,5,100
1,1,1,,10,,,100
1,1,1,,10,,,20
1,1,1,,11,,,100
1,1,1,,11,,,210
1,1,1,,11,,,50
1,1,1,,11,,,50
1,1,1,,11,,,80
1,1,1,,4,4,5,300
1,1,1,,4,5,1,1400
1,1,1,1,1,5,5,193
1,1,1,1,2,1,1,40
1,1,1,1,2,1,4,15
1,1,1,2,1,1,5,180
1,1,1,2,1,2,5,100
1,1,1,2,1,2,5,96
1,1,1,2,1,4,1,350
1,1,1,2,1,5,2,200
1,1,1,2,11,,,50
1,1,1,2,2,4,2,100
1,1,1,2,2,4,2,80
1,1,1,2,4,2,1,15
1,1,1,2,4,4,1,500
1,1,1,2,4,5,1,0
1,1,1,2,7,,,240
1,1,1,3,4,4,1,120
1,1,1,4,1,3,3,50
1,1,1,4,4,2,1,30
1,1,1,4,4,4,1,5
1,1,1,4,4,4,2,0
1,1,1,6,1,4,2,30
1,1,1,6,11,,,200
1,1,2,,11,,,194
1,1,2,,2,1,5,0
1,1,2,,8,,,0
1,1,2,1,2,5,2,0
1,2,1,,1,3,5,20
1,2,1,,1,4,4,280
1,2,1,,1,4,5,450
1,2,1,,1,5,4,280
1,2,1,,1,5,4,60
1,2,1,,1,5,5,400
1,2,1,,1,5,5,460
1,2,1,,11,,,60
1,2,1,,4,5,1,20
1,2,1,1,1,4,5,367
1,2,1,1,3,5,1,500
1,2,1,1,4,1,1,600
1,2,1,2,1,4,5,240
1,2,1,2,2,5,5,200
1,2,1,2,4,1,1,50
1,2,1,2,4,5,1,100
1,2,1,2,7,,,40
1,2,1,4,1,5,2,250
1,2,1,6,4,5,1,400
1,2,2,,1,3,5,212
1,2,2,,8,,,400
1,2,2,2,1,4,5,150
1,3,1,,1,5,4,0
1,3,1,,1,5,4,100
1,3,1,,1,5,4,650
1,3,1,1,1,4,5,400
1,3,1,1,1,5,5,0
1,3,1,1,2,4,5,160
1,3,1,2,1,5,2,50
1,3,1,4,1,4,5,500
10,95,1,,1,1,2,25
10,95,1,,1,1,3,12
10,95,1,,1,1,3,50
10,95,1,,1,1,4,20
10,95,1,,1,1,4,25
10,95,1,,1,1,4,40
10,95,1,,1,1,5,75
10,95,1,,1,2,3,30
10,95,1,,1,2,3,50
10,95,1,,1,2,4,150
10,95,1,,1,2,4,30
10,95,1,,1,2,4,50
10,95,1,,1,2,4,50
10,95,1,,1,2,5,0
10,95,1,,1,3,4,25
10,95,1,,1,3,5,96
10,95,1,,1,4,2,35
10,95,1,,1,4,3,160
10,95,1,,1,4,3,18
10,95,1,,1,4,3,230
10,95,1,,1,4,3,60
10,95,1,,1,4,4,10
10,95,1,,1,4,4,10
10,95,1,,1,4,4,11
10,95,1,,1,4,4,110
10,95,1,,1,4,4,120
10,95,1,,1,4,4,15
10,95,1,,1,4,4,150
10,95,1,,1,4,4,150
10,95,1,,1,4,4,20
10,95,1,,1,4,4,20
10,95,1,,1,4,4,20
10,95,1,,1,4,4,20
10,95,1,,1,4,4,200
10,95,1,,1,4,4,25
10,95,1,,1,4,4,25
10,95,1,,1,4,4,30
10,95,1,,1,4,4,30
10,95,1,,1,4,4,35
10,95,1,,1,4,4,40
10,95,1,,1,4,4,45
10,95,1,,1,4,4,5
10,95,1,,1,4,4,5
10,95,1,,1,4,4,50
10,95,1,,1,4,4,50
10,95,1,,1,4,4,50
10,95,1,,1,4,4,50
10,95,1,,1,4,4,50
10,95,1,,1,4,4,6
10,95,1,,1,4,4,7
