"","x"
"1","망우동"
"2","면목동"
"3","면목동"
"4","신림동"
"5","신림동"
"6","신림동"
"7","봉천동"
"8","남현동"
"9","봉천동"
"10","상봉동"
"11","봉천동"
"12","석촌동"
"13","신림동"
"14","신내동"
"15","신림동"
"16","봉천동"
"17","등촌동"
"18","석촌동"
"19","등촌동"
"20","신내동"
"21","면목동"
"22","마천동"
"23","신월동"
"24","거여동"
"25","망원동"
"26","신림동"
"27","신월동"
"28","목동"
"29","신월동"
"30","신림동"
"31","구의동"
"32","중곡동"
"33","북창동"
"34","자양동"
"35","자양동"
"36","구의동"
"37","중곡동"
"38","자양동"
"39","구의동"
"40","중곡동"
"41","중곡동"
"42","자양동"
"43","자양동"
"44","중곡동"
"45","신월동"
"46","광장동"
"47","군자동"
"48","자양동"
"49","자양동"
"50","자양동"
"51","자양동"
"52","장안동"
"53","신정동"
"54","내발산동"
"55","문정동"
"56","마천동"
"57","잠실동"
"58","이문동"
"59","오금동"
"60","가양동"
"61","화곡동"
"62","월계동"
"63","풍납동"
"64","교북동"
"65","풍납동"
"66","잠실동"
"67","남영동"
"68","등촌동"
"69","천호동"
"70","등촌동"
"71","성내동"
"72","성내동"
"73","묵동"
"74","묵동"
"75","묵동"
"76","효제동"
"77","잠실동"
"78","방이동"
"79","신림동"
"80","망우동"
"81","송파동"
"82","잠실동"
"83","숭인동"
"84","마천동"
"85","서교동"
"86","구로동"
"87","면목동"
"88","중계동"
"89","봉천동"
"90","화곡동"
"91","화곡동"
"92","행당동"
"93","수유동"
"94","구로동"
"95","상계동"
"96","수유동"
"97","구로동"
"98","가리봉동"
"99","신림동"
"100","미아동"
"101","구로동"
"102","갈월동"
"103","신림동"
"104","서교동"
"105","봉천동"
"106","천호동"
"107","창동"
"108","홍제동"
"109","화곡동"
"110","방배동"
"111","창동"
"112","고척동"
"113","도봉동"
"114","천호동"
"115","북가좌동"
"116","온수동"
"117","구로동"
"118","장위동"
"119","흑석동"
"120","방배동"
"121","무악동"
"122","개봉동"
"123","수유동"
"124","수유동"
"125","합정동"
"126","북가좌동"
"127","낙원동"
"128","홍은동"
"129","등촌동"
"130","등촌동"
"131","마장동"
"132","대조동"
"133","종암동"
"134","망원동"
"135","내발산동"
"136","미아동"
"137","마천동"
"138","신림동"
"139","묵동"
"140","미아동"
"141","구로동"
"142","공릉동"
"143","길동"
"144","구로동"
"145","독산동"
"146","수유동"
"147","행당동"
"148","수유동"
"149","창신동"
"150","상봉동"
"151","신당동"
"152","연희동"
"153","용두동"
"154","신공덕동"
"155","필운동"
"156","숭인동"
"157","등촌동"
"158","봉천동"
"159","면목동"
"160","신공덕동"
"161","면목동"
"162","사근동"
"163","신당동"
"164","구로동"
"165","개봉동"
"166","신도림동"
"167","응암동"
"168","중화동"
"169","갈현동"
"170","방이동"
"171","성산동"
"172","남가좌동"
"173","상수동"
"174","남가좌동"
"175","쌍문동"
"176","화곡동"
"177","묵동"
"178","상계동"
"179","수유동"
"180","시흥동"
"181","고척동"
"182","구로동"
"183","수유동"
"184","고척동"
"185","우이동"
"186","개봉동"
"187","구로동"
"188","고척동"
"189","구로동"
"190","대조동"
"191","화곡동"
"192","거여동"
"193","하왕십리동"
"194","신림동"
"195","고척동"
"196","연지동"
"197","북가좌동"
"198","연희동"
"199","북가좌동"
"200","용답동"
"201","면목동"
"202","문정동"
"203","공덕동"
"204","화곡동"
"205","상도1동"
"206","녹번동"
"207","홍은동"
"208","도봉동"
"209","창천동"
"210","온수동"
"211","구로동"
"212","봉천동"
"213","도봉동"
"214","오류동"
"215","고척동"
"216","자양동"
"217","궁동"
"218","녹번동"
"219","길동"
"220","양재동"
"221","무악동"
"222","삼성동"
"223","고척동"
"224","마장동"
"225","낙원동"
"226","미아동"
"227","고척동"
"228","마천동"
"229","거여동"
"230","봉천동"
"231","신월동"
"232","신월동"
"233","삼성동"
"234","상도동"
"235","문정동"
"236","독산동"
"237","봉천동"
"238","역삼동"
"239","내발산동"
"240","영등포본동"
"241","불광동"
"242","수유동"
"243","방이동"
"244","공항동"
"245","미아동"
"246","신월동"
"247","신월동"
"248","개봉동"
"249","장위동"
"250","화양동"
"251","목동"
"252","목동"
"253","목동"
"254","자양동"
"255","가양동"
"256","홍제동"
"257","마천동"
"258","동숭동"
"259","쌍문동"
"260","도봉동"
"261","방화동"
"262","북아현동"
"263","군자동"
"264","내자동"
"265","삼성동"
"266","삼성동"
"267","대치동"
"268","대치동"
"269","대치동"
"270","대치동"
"271","도선동"
"272","청량리동"
"273","성내동"
"274","신길동"
"275","대림1동"
"276","갈월동"
"277","삼전동"
"278","구로동"
"279","구로동"
"280","논현동"
"281","성산동"
"282","중계동"
"283","개포동"
"284","미아동"
"285","고척동"
"286","논현동"
"287","방이동"
"288","대조동"
"289","구의동"
"290","낙원동"
"291","군자동"
"292","방배동"
"293","마천동"
"294","고척동"
"295","방이동"
"296","오류동"
"297","수서동"
"298","거여동"
"299","마천동"
"300","봉천동"
"301","대치동"
"302","독산동"
"303","길동"
"304","상도동"
"305","신대방동"
"306","상도1동"
"307","청담동"
"308","역삼동"
"309","역삼동"
"310","역삼동"
"311","대방동"
"312","제기동"
"313","장안동"
"314","전농동"
"315","노량진동"
"316","정릉동"
"317","방학동"
"318","방학동"
"319","신림동"
"320","보광동"
"321","수유동"
"322","대방동"
"323","본동"
"324","면목동"
"325","면목동"
"326","중곡동"
"327","송파동"
"328","양재동"
"329","목동"
"330","구로동"
"331","논현동"
"332","청담동"
"333","대치동"
"334","봉천동"
"335","상월곡동"
"336","화곡동"
"337","논현동"
"338","구로동"
"339","고척동"
"340","개봉동"
"341","개봉동"
"342","면목동"
"343","목동"
"344","신월동"
"345","연건동"
"346","상도동"
"347","공항동"
"348","홍은동"
"349","대방동"
"350","노량진동"
"351","사당동"
"352","마천동"
"353","노량진동"
"354","화곡동"
"355","녹번동"
"356","이문동"
"357","도화동"
"358","도봉동"
"359","방학동"
"360","화곡동"
"361","화양동"
"362","방학동"
"363","상도1동"
"364","서계동"
"365"," 상계동"
"366","구의동"
"367","대조동"
"368","정릉동"
"369","정릉동"
"370","개봉동"
"371","구로동"
"372","구로동"
"373","구로동"
"374","구로동"
"375","장안동"
"376","삼성동"
"377","대치동"
"378","연희동"
"379","상계동"
"380","신길동"
"381","관수동"
"382","개봉동"
"383","개봉동"
"384","개봉동"
"385","방화동"
"386","신길동"
"387","문배동"
"388","효창동"
"389","상도동"
"390","흑석동"
"391","대치동"
"392","연남동"
"393","신길동"
"394","송파동"
"395","자양동"
"396","누하동"
"397","중화동"
"398","창동"
"399","구의동"
"400","시흥동"
"401","연희동"
"402","마천동"
"403","방학동"
"404","흑석동"
"405","역삼동"
"406","역삼동"
"407","도곡동"
"408","개포동"
"409","용두동"
"410","남영동"
"411","남현동"
"412","대림동"
"413","체부동"
"414","대치동"
"415","잠실동"
"416","구로동"
"417","용문동"
"418","갈월동"
"419","상도1동"
"420","잠원동"
"421","거여동"
"422","봉천동"
"423","구로동"
"424","상도동"
"425","흑석동"
"426","수유동"
"427","사당동"
"428","송파동"
"429","개봉동"
"430","개봉동"
"431","개봉동"
"432","개봉동"
"433","오류동"
"434","석촌동"
"435","논현동"
"436","개봉동"
"437","논현동"
"438","구로동"
"439","가리봉동"
"440","가리봉동"
"441","남창동"
"442","이태원동"
"443","제기동"
"444","청담동"
"445","삼성동"
"446","대치동"
"447","신림동"
"448","가리봉동"
"449","고척동"
"450","고척동"
"451","서초동"
"452","대현동"
"453","다동"
"454","여의도동"
"455","신림동"
"456","신림동"
"457","신림동"
"458","신림동"
"459","가리봉동"
"460","답십리동"
"461","가리봉동"
"462","고척동"
"463","고척동"
"464","개봉동"
"465","상계동"
"466","삼성동"
"467","역삼동"
"468","대치동"
"469","도곡동"
"470","개포동"
"471","수서동"
"472","문정동"
"473","중곡동"
"474","개포동"
"475","망원동"
"476","청량리동"
"477","논현동"
"478","대치동"
"479","역삼동"
"480","행당동"
"481","방학동"
"482","염창동"
"483","대치동"
"484","마천동"
"485","개포동"
"486","연건동"
"487","도렴동"
"488","개봉동"
"489","면목동"
"490","개봉동"
"491","개봉동"
"492","장안동"
"493","흑석동"
"494","삼성동"
"495","공릉동"
"496","자양동"
"497","상도동"
"498","오금동"
"499","궁동"
"500","가락동"
"501","구로동"
"502","구로동"
"503","구로동"
"504","가리봉동"
"505","길음동"
"506","정릉동"
"507","오류동"
"508","월계동"
"509","묵동"
"510","역삼동"
"511","도곡동"
"512","삼전동"
"513","신사동"
"514","노량진동"
"515","상도동"
"516","대치동"
"517","신사동"
"518","중곡동"
"519","자양동"
"520","면목동"
"521","구로동"
"522","구로동"
"523","구로동"
"524","논현동"
"525","논현동"
"526","논현동"
"527","구로동"
"528","신길동"
"529","신길동"
"530","적선동"
"531","대방동"
"532","대방동"
"533","시흥동"
"534","시흥동"
"535","풍납동"
"536","면목동"
"537","묵동"
"538","수서동"
"539","대림동"
"540","영등포동"
"541","도림동"
"542","마천동"
"543","방이동"
"544","삼전동"
"545","잠실동"
"546","잠실동"
"547","마천동"
"548","중곡동"
"549","군자동"
"550","군자동"
"551","제기동"
"552","휘경동"
"553","삼성동"
"554","삼성동"
"555","역삼동"
"556","삼성동"
"557","신사동"
"558","도곡동"
"559","개포동"
"560","역삼동"
"561","일원동"
"562","개포동"
"563","개포동"
"564","역삼동"
"565","사당동"
"566","역삼동"
"567","화곡동"
"568","봉천동"
"569","개포동"
"570","성내동"
"571","방이동"
"572","이문동"
"573","신대방동"
"574","우이동"
"575","봉천동"
"576","대치동"
"577","신림동"
"578","하월곡동"
"579","역삼동"
"580","면목동"
"581","풍납동"
"582","거여동"
"583","사당동"
"584","석촌동"
"585","북가좌동"
"586","오류동"
"587","구로동"
"588","역삼동"
"589","대치동"
"590","역삼동"
"591","내발산동"
"592","독산동"
"593","시흥동"
"594","상도1동"
"595","독산동"
"596","개봉동"
"597","개봉동"
"598","구로동"
"599","역삼동"
"600","장위동"
"601","창천동"
"602","봉천동"
"603","대방동"
"604","상도동"
"605","봉천동"
"606","봉천동"
"607","상도동"
"608","길동"
"609","면목동"
"610","수유동"
"611","신림동"
"612","개포동"
"613","신사동"
"614","서초동"
"615","개포동"
"616","개포동"
"617","신림동"
"618","영등포동"
"619","문정동"
"620","신대방동"
"621","독산동"
"622","시흥동"
"623","시흥동"
"624","번동"
"625","구의동"
"626","자양동"
"627","능동"
"628","구의동"
"629","구의동"
"630","능동"
"631","망원동"
"632","대흥동"
"633","신수동"
"634","공덕동"
"635","한남동"
"636","풍납동"
"637","망원동"
"638","망원동"
"639","망원동"
"640","사당동"
"641","서교동"
"642","개포동"
"643","역삼동"
"644","개포동"
"645","청량리동"
"646","노량진동"
"647","미아동"
"648","홍은동"
"649","서초동"
"650","노량진동"
"651","목동"
"652","서초동"
"653","불광동"
"654","봉천동"
"655","망우동"
"656","망우동"
"657","봉천동"
"658","갈현동"
"659","화곡동"
"660","면목동"
"661","망우동"
"662","망우동"
"663","망우동"
"664","면목동"
"665","방이동"
"666","풍납동"
"667","삼성동"
"668","신림동"
"669","응암동"
"670","응암동"
"671","역촌동"
"672","대조동"
"673","대조동"
"674","화곡동"
"675","상계동"
"676","제기동"
"677","신림동"
"678","구로동"
"679","구로동"
"680","신림동"
"681","마천동"
"682","동교동"
"683","망원동"
"684","망원동"
"685","망원동"
"686","홍은동"
"687","홍제동"
"688","홍은동"
"689","홍은동"
"690","홍제동"
"691","홍은동"
"692","연희동"
"693","홍제동"
"694","홍은동"
"695","남가좌동"
"696","홍은동"
"697","홍은동"
"698","수유동"
"699","월계동"
"700","상계동"
"701","묵동"
"702","중화동"
"703","번동"
"704","낙원동"
"705","낙원동"
"706","성내동"
"707","봉천동"
"708","신사동"
"709","도곡동"
"710","삼성동"
"711","삼성동"
"712","역삼동"
"713","도곡동"
"714","개포동"
"715","개포동"
"716","창동"
"717","서교동"
"718","망원동"
"719","등촌동"
