post,value
"18. 12. 5.  5:09  <직원 미인증>  좋은 의원 칭찬은 좋지만 헛소리는 하지 맙시다. 이번 의원실 회계문제가 어째서 언론의 부화뇌동입니까? 국민보기 부끄럽지도 않습니까.  이번 회계문제는 크게 두가지 유형입니다. 첫째는 선관위와 사무처에 영수증 이중보고, 정치자금법 위반입니다. 회계책임자와 국회의원이 고발될 사안입니다. 두번째는 정치자금 지출 후 사무처 지원비를 특수활동비(운영비)계좌로 취득, … 더 보기 이전하지 않음 목적에 맞게 쓰라고 지원한 세금을 특수활동비처럼 마음대로 쓸수 있습니다.  실수일 수 있습니다. 다른 회계년도에는 잘 처리했지만 이번에만 착오로 못했을 수 있습니다. 그런데 의정보고서 제작이나 발송을 지원해주는 지원비신청은 연말 한번에 신청할 수도 있고 지출있을 때마다 건건이 신청할 수도 있습니다. 신청할 때마다 지원금을 받을 통장계좌를 변경할 수 있습니다. 수급계좌를 변경불가능하고, 개별신청이 아닌 총액을 맞춰서 한번에 신청해야되는데 정치자금 지출과 운영비계좌 지출이 혼합되어 있었다면 착오로 이체하지 못한걸 다소 이해할 수 있습니다.  그런데 계좌별 지출건당 맞는 수급계좌를 나눠서 신청하면 착오할 일도 없습니다. 어려운 일도 아니죠. 그러면 실수가 단순 착오입니까?  아니면 의도를 가진 고의로 의심됩니까? 그것도 아니면 회계직원의 무능입니까.",<직원 미인증>
"18. 12. 4.  5:06  <직원 인증>  국회의원 사무실 영수증 제출 문제로 난리다.  그 명단에 있던 한 의원실 친구를 상담해주면서 알게 된 이야기다. 기자가 의원에게 직접 전화해서 추궁했고 영문도 모르는 의원은 확인하고 답변하겠다고 했다. 의원은 바로 실무자에게 물어보았고, 실무자는 ""착오로 발생한 실수인데 들어오시면 자세히 설명드리겠다""고 한다. 그러자 그 의원에게서 돌아온 첫마디가,   ""네.. ㅇㅇ씨가 많이 놀랐겠군요."" 였다.   의원실에서는 기자와 여러 차례 통화하며, 기존 지로영수증이며 반환확인증 등으로 소명했다. 자료를 다 확인한 기자가 '이런거라면… 더 보기 특별히 문제되지 않겠네요.^^' 라는 말로 안심시킨 다음 날 큰 비리인 것처럼 대서특필하는 것이 이 바닥에서는 놀라운 일도 아니다.   언론사.  자극적인 이슈에 많은 국회의원을 연루시킬수록 이목을 끌것이고('실무자의 실수'라는 단어를 빼서, 큰 비리라도 되는 듯 호도하는 것은 '기자의 양심'영역이 아닌, 생계 문제일 뿐) 이목을 끈 만큼 후원금을 받는 자본주의가 낳은 괴물일 뿐이다. 그 의원은 이런 시스템을 잘 꿰뚫고 있었으며, 시스템의 또다른 희생양인 실무자에게 분노는 커녕 오히려 감싸주었으며, 언제나처럼 위풍당당했다.  이번 일을 지켜보니 ""자기 사람""을 만드는 것, 그렇게 어려운 일도 아닌 것 같다. 정치적 성향이건, 계파건 상관없이 저런 인품이면 많은 사람이 따를 것이다. 하시는 일 모두 잘 되길 진심으로 기원합니다. 김현권 의원님.",<직원 인증>
"18. 12. 4.  3:24  <직원 미인증>  안녕하세요 모 당 지지포럼 회원입니다 얼마전에  모 청소년 고발글이 올라왔는데 현재 모 청소년도 문제가 많습니다. ㅇㅇㅇ은 상습적으로 익명채팅방에서 여자따먹잔 개소리를 짓걸였고 ㅇㅇㅇ은 이에 동조했습니다. ㅇㅇㅇ,ㅇㅇㅇ,ㅇㅇㅇ 등은 방관했습니다 국민여러분들의 처벌부탁드립니다",<직원 미인증>
18. 12. 4.  11:12  <직원 인증>  국회 인턴에게 봄은 오는가,<직원 인증>
18. 12. 4.  8:12  <직원 미인증>  광흥창 통근버스에 탑승 중인데요. 기사님 설마 차안에서 전자담배 피우신건가요? 탑승하자마자 버스 안에 냄새가 가득합니다... 전자담배가 냄새나는건 흡연자들만 모르시는건가요..,<직원 미인증>
18. 11. 30.  5:35  <직원 인증>  배경과 일부 처지와 입장이 다르더라도 국회에 있는 모든 구성원은 동료입니다. 사무처에 국회 어린이집에 있는 축구회 샤워실을 원아들의 안전 문제 등을 이유로 폐쇄하라는 취지의 질의가 들어왔다더군요. 원아들이 위험한 상황에 빠지면 축구동호회 회원들이 도와주면 도와줬지 직장동료의 생떼같은 자식들을 위협하겠습니까? 전에 틍근버스 갈등문제도 그렇고 내가 못 먹는 혹은 안먹는 밥상이라고 남의 밥상에 침뱉어서야 되겠습니까? 그리고 조금 누가 더 혜택보면 좀 어떻습니까? 기본적으로 공무에 임하면 내가 일해서 국민들이 더 혜택보게 하는게 근본적인 목적 아니겠습니까? 그 정도 직무를 짊어진 사람들이 그 작은 이익과 이해관계에 갈등을 불러일으켜서야 되겠습니까? 상호간 조금 더 존중하고 배려하고 이해하며 일했으면 좋겠습니다. 이런 일로 아웅다웅하는 거 국회 밖 사람들이 보면 뭐라고 할지 참담합니다.,<직원 인증>
"18. 11. 28.  1:42  <직원 인증>  오늘 점심때 의원회관 직원 체력단련실에 샤워를 하러 다녀왔음.  어떤 여자가 샤워실에 옷입은채(검은 스타킹)로 들어와 고개숙여 머리를 감길래 '저러면 발 안젖을까?'라고 생각했는데  나중에보니 머리 곱게 말리고는 자기발을 공용드라이기로 열심히 말리고 있음.  진짜 개념이 없는거 아님?   분명히 여자 샤워실 안 사방에 드라이를 머리말리는 용도 외에는 쓰지말라고, 굳이 드라이기로 양말말리는 사진을 찍어 X표해놨는데 그 앞에서 그러고 있음.  순간 진심 욕해주고싶었는데 먹고사는 생활터전이라 꾹 참고 나왔음.  넌 글씨를 모르는거냐? 매너를 못배운거냐? 머리만 감으면 뭐하니.. 머리에 든게 없는데...",<직원 인증>
"18. 11. 26.  5:27  <직원 인증>  진짜 궁금해서 그러는데.... 의정보고서 내용에서 국비 얼마 땄다며 줄줄이 억억억 써놓고,  동마다 진행 사업들 좔좔좔 나열하는데,  그거 주민들이  정말 읽어보나요...?  화보사진첩도 아니고 영감 잘나온 사진 꽉꽉 발라놓는것도 받는 사람 입장에서... 매번  의정보고서 만들 때마다 회의감이 듭니다........ 대개 쓰레기통으로 직행한다고 하는데..... 열독율 높은 의정보고서 만들려면 뭘 참조해야 할까요?;;",<직원 인증>
"18. 11. 21.  11:18  <직원 인증>  너희 둘이 연애하는 거 너희 빼고 다 알아. 너희 둘이 상임위장 간답시고 하루종일 자리 비우면서 정작 상임위장에는 없는 거, 상임위 행정실까지 소문났어. 우리방 팩스기도 조만간 너희 둘이 연애한다고 다른 방에 법안이랑 같이 보낼 거 같아.  나는 다 큰 남녀가 손을 잡든 꿈을 꾸든 관심이 하등 없다. 불행히도 둘 다 인성이 개차반이지만, 어쩌겠어. 니들 인성까지 고려하며 연애사정 이해해주기에 나는 니들이 펑크낸 일들 땜질하는 것만으로도 무척 바쁜데. 무엇보다 내가 니들을 딱히 좋아하지 않아.  다만 적어도 남들에게 피해주며… 더 보기 살지는 말자. 식구 몇명은 너희 둘이서 운영비니 뭐니 야금야금 어디까지 떼어 처먹는지 다 알아. 둘이서 남들 옷차림이며 화장이며 하나부터 열까지 뒷담하고 심지어  이간질까지 하는 것도. 최근에도 엉뚱한 사람들 싸움 붙여놨다지? 써놓고 보니 둘 다 열심히 사는 거 같긴 한데, 딱히 이로운 삶은 아니라서 지켜보기가 영 불편하네. 도대체 어떤 조건들을 충족해야 저런 최악체가, 그것도 둘이나 나오나 싶기도 하고. 난 참 그렇다.   그래도 너희가 눈치 보기로는 세계 제일이잖아. 이 글 읽고 혹시 너희인가 싶거든 지금부터 내가 하는 말을 명심해. 너희는 다 문제인데, 너희가 똑똑해서 남들은 모를거라고 착각하는 게 제일 문제야. 못배운 밑천으로 애쓰면서 살지 말고, 할거면 연애 하나만 했으면 좋겠어. 너희는 부족한 머리 여러가지 중 특히 교양머리가 진공상태 수준이니까 어디 가서든 지금처럼 함부로 입 털지 말고. 왜냐하면, 다시 한 번 말하지만, 너희 둘이 연애하는 거 너희 빼고 다 알거든.",<직원 인증>
18. 11. 21.  9:14 <직원 인증>  8월에 국회공무원 제안모집을 하고 10월 초에 발표한다고 했는데 발표를 안하네요. 혹시 이거 관련 아시는 분 계신가요?? 어디에 문의하죠?   발표가 늦어지면 늦어진다고라도 공지라도 하든가... 그냥 뭉개는건가?,<직원 인증>
