권역,월평균소득,동기1,동기2,창업애로사항1,창업애로사항2,경영애로사항1,경영애로사항2,필요정책1,필요정책2
1,0,1,,10,5,3,1,3,10
1,0,1,,2,7,1,11,4,6
1,0,1,,6,,3,10,2,8
1,0,1,,7,,3,,5,
1,0,1,,7,,7,3,4,5
1,0,1,,7,11,11,,12,
1,0,1,,7,2,5,1,8,11
1,0,1,2,1,7,1,5,4,12
1,0,1,2,2,11,11,3,5,13
1,0,1,2,2,11,3,11,4,8
1,0,1,2,2,7,3,1,2,3
1,0,1,2,2,9,3,5,4,6
1,0,1,2,5,7,1,2,8,12
1,0,1,4,2,11,3,11,8,12
1,0,2,,12,,11,,5,
1,0,4,,2,,11,,4,5
1,0,4,,2,,11,10,4,
1,0,4,,2,,11,10,4,
1,0,4,,2,3,5,1,8,3
1,0,4,,2,3,9,1,4,6
1,10,1,,2,,3,9,3,12
1,10,1,4,7,11,10,1,12,13
1,10,2,4,2,7,11,1,4,
1,10,4,,2,8,1,11,12,13
1,100,1,,11,,1,3,4,8
1,100,1,,11,6,4,7,4,5
1,100,1,,2,,1,3,1,4
1,100,1,,2,,3,,1,2
1,100,1,,2,11,11,3,8,
1,100,1,,2,11,3,7,2,3
1,100,1,,7,,12,,4,
1,100,1,,7,2,11,,3,12
1,100,1,2,11,,11,,2,4
1,100,1,2,11,,11,12,11,14
1,100,1,2,11,8,11,1,4,
1,100,1,2,12,,10,11,8,
1,100,1,2,12,,11,,5,8
1,100,1,2,2,1,11,1,4,8
1,100,1,2,2,11,11,1,3,4
1,100,1,2,2,11,3,5,4,7
1,100,1,2,2,7,3,1,4,12
1,100,1,2,3,11,1,3,2,4
1,100,1,2,7,10,11,1,2,4
1,100,1,2,8,10,11,,4,5
1,100,1,3,11,2,2,10,3,4
1,100,1,3,11,4,1,11,5,9
1,100,1,3,2,1,3,1,2,6
1,100,1,4,11,,11,10,4,
1,100,1,4,11,7,5,11,4,5
1,100,1,4,12,,11,1,4,
1,100,1,4,2,,1,3,1,4
1,100,1,4,2,,11,,4,5
1,100,1,4,2,7,1,11,5,7
1,100,1,4,2,7,1,3,4,12
1,100,1,4,2,7,11,1,2,4
1,100,1,4,7,3,11,10,7,12
1,100,1,5,2,11,11,,2,4
1,100,2,,2,6,1,3,2,3
1,100,2,,2,8,3,11,4,5
1,100,2,,3,1,4,7,4,6
1,100,2,,3,2,11,1,4,
1,100,2,,5,2,11,9,4,5
1,100,2,,7,,12,,7,8
1,100,2,1,11,2,1,3,4,5
1,100,2,1,2,,11,10,3,4
1,100,2,1,2,4,3,1,4,5
1,100,2,1,2,8,10,11,4,12
1,100,2,1,3,4,1,11,3,11
1,100,2,1,7,2,5,11,4,5
1,100,2,4,2,3,3,1,4,
1,100,2,4,2,7,1,3,4,
1,100,2,4,2,7,3,1,4,
1,100,4,,11,,12,11,2,5
1,100,4,,12,,11,1,5,
1,100,4,,2,,11,,1,
1,100,4,,2,,11,,3,
1,100,4,,2,,11,3,8,
1,100,4,,2,,12,,1,4
1,100,4,,2,,3,11,2,5
1,100,4,,2,1,11,,4,7
1,100,4,,2,5,12,5,8,12
1,100,4,,2,7,11,,4,
1,100,4,1,4,8,9,11,8,
1,100,4,1,6,4,5,1,2,
1,100,4,1,8,2,1,3,5,
1,100,4,2,1,2,1,5,4,8
1,100,4,2,2,,3,7,1,3
1,100,4,2,2,11,3,11,4,
1,100,4,2,2,11,3,11,4,5
1,100,4,2,2,7,3,,4,8
1,1000,1,2,12,,12,,1,2
1,1000,2,1,2,,3,4,5,6
1,110,4,,8,2,11,10,4,5
1,112.5,1,,5,,3,,2,3
1,120,1,,7,3,12,,4,
1,120,1,2,4,8,2,3,8,
1,120,1,3,2,10,12,10,6,14
1,120,1,3,2,4,11,1,8,
1,120,2,4,1,2,1,5,4,5
1,120,4,,2,11,12,10,4,11
1,120,4,1,3,2,11,1,4,8
1,125,1,3,5,1,1,2,6,10
1,130,1,,2,11,4,3,4,8
1,130,1,2,10,11,12,,11,14
1,130,1,2,2,11,11,12,4,10
1,130,1,2,2,11,9,5,6,10
1,130,1,4,12,,11,,12,
1,140,1,2,2,11,1,5,6,10
1,150,1,,2,11,7,9,5,8
1,150,1,2,10,4,2,1,3,
1,150,1,2,11,4,5,3,12,
1,150,1,2,2,,10,12,4,5
1,150,1,2,2,,11,1,4,
1,150,1,2,2,7,11,3,1,4
1,150,1,2,2,7,3,1,4,5
1,150,1,2,2,8,11,5,8,
1,150,1,2,2,8,2,3,4,6
1,150,1,2,4,7,1,3,1,2
1,150,1,2,7,11,11,1,2,8
1,150,1,3,7,2,9,10,5,12
1,150,1,4,2,7,10,1,4,12
1,150,1,4,2,7,11,1,2,4
1,150,1,4,7,2,11,1,4,12
1,150,2,,4,2,11,1,2,3
1,150,2,,7,11,11,1,3,8
1,150,2,1,2,4,11,1,4,12
1,150,2,1,2,7,11,3,4,5
1,150,2,1,4,8,11,1,4,12
1,150,2,1,8,11,11,1,2,3
1,150,2,1,8,4,1,11,12,13
1,150,2,1,8,4,11,2,12,13
1,150,2,1,9,11,11,1,2,3
1,150,3,,2,,3,11,4,
1,150,3,1,2,4,3,7,2,8
1,150,4,,12,,11,,4,5
1,150,4,,12,,11,,5,
1,150,4,,2,,3,11,13,
1,150,4,,2,1,1,3,1,
1,150,4,,2,11,3,1,5,8
1,150,4,,2,7,1,11,2,4
1,150,4,,3,7,3,1,2,3
1,150,4,1,11,,11,10,2,4
1,150,4,1,4,2,11,2,4,10
1,150,4,1,7,3,11,10,5,12
1,1500,1,,2,,11,,2,
1,160,1,5,2,,1,11,4,13
1,180,1,,11,,11,,4,5
1,180,1,,2,9,5,1,5,10
1,180,1,4,1,2,11,1,3,4
1,180,4,,12,,11,1,13,
1,180,4,,2,,11,3,1,4
1,180,4,,2,,3,11,4,5
1,185,1,,11,,11,5,5,
1,185,1,4,11,5,12,11,2,4
1,185,1,4,12,,12,10,1,4
1,190,1,,10,2,11,,4,5
1,190,1,,11,,3,11,4,8
1,190,1,,12,,11,,5,
1,190,1,,2,,1,5,4,6
1,190,1,4,11,,5,11,4,8
1,191.7,2,,2,7,3,11,4,7
1,20,1,2,10,11,11,3,4,13
1,20,2,1,10,11,11,1,8,12
1,20,5,,7,,12,,4,
1,200,1,,12,,11,,4,
1,200,1,,2,10,11,1,5,10
1,200,1,,2,7,11,,4,
1,200,1,,2,8,5,,5,10
1,200,1,,3,2,11,3,3,8
1,200,1,,3,7,11,12,4,12
1,200,1,,7,,11,,4,
1,200,1,,7,2,11,9,4,12
1,200,1,2,1,6,11,1,1,5
1,200,1,2,10,,1,,10,
1,200,1,2,10,1,4,8,1,2
1,200,1,2,10,11,3,11,2,4
1,200,1,2,10,8,2,1,2,
1,200,1,2,11,,11,12,4,5
1,200,1,2,11,,11,3,4,10
1,200,1,2,11,7,10,5,8,10
1,200,1,2,11,7,11,1,8,
1,200,1,2,2,,3,2,1,8
1,200,1,2,2,1,3,7,6,7
1,200,1,2,2,10,3,5,8,10
1,200,1,2,2,10,3,7,4,6
1,200,1,2,2,10,3,7,4,6
1,200,1,2,2,11,11,12,4,
1,200,1,2,2,11,3,1,8,
1,200,1,2,2,11,3,12,3,5
1,200,1,2,2,4,2,8,4,12
1,200,1,2,2,6,10,1,2,4
1,200,1,2,2,6,3,,2,5
1,200,1,2,2,7,1,5,2,3
1,200,1,2,2,7,1,8,4,10
1,200,1,2,2,7,11,1,1,4
1,200,1,2,2,7,11,1,6,12
1,200,1,2,2,7,11,5,1,2
1,200,1,2,2,7,11,5,8,12
1,200,1,2,2,7,3,1,4,12
1,200,1,2,4,7,11,1,6,8
1,200,1,2,7,2,11,3,1,4
1,200,1,3,2,11,3,1,4,8
1,200,1,3,2,11,3,5,4,8
1,200,1,4,10,,11,1,8,
1,200,1,4,12,,11,,4,
1,200,1,4,2,,12,,4,5
1,200,1,4,2,7,11,1,2,4
1,200,1,4,2,8,1,2,2,8
1,200,1,4,2,8,11,10,2,4
1,200,1,4,7,,9,10,4,12
1,200,1,4,7,11,11,12,5,12
1,200,2,,2,,11,,4,6
1,200,2,,2,,11,3,4,11
1,200,2,,2,10,1,11,4,5
1,200,2,,2,3,3,1,4,12
1,200,2,,2,7,12,11,4,12
1,200,2,,2,7,3,1,4,
1,200,2,1,11,,10,11,8,12
1,200,2,1,11,8,11,2,2,3
1,200,2,1,2,,3,1,5,8
1,200,2,1,2,1,2,9,4,1
1,200,2,1,4,8,11,1,2,4
1,200,2,4,2,4,1,7,5,7
1,200,3,1,3,4,2,1,4,
1,200,4,,11,,11,,13,
1,200,4,,11,2,1,11,4,8
1,200,4,,12,,11,,10,13
1,200,4,,2,,11,,1,4
1,200,4,,2,,11,,4,12
1,200,4,,2,,11,1,4,10
1,200,4,,2,,3,1,4,5
1,200,4,,2,11,11,3,4,5
1,200,4,,2,11,3,11,4,
1,200,4,,2,7,11,,4,
1,200,4,,2,7,3,11,5,8
1,200,4,,2,8,7,10,11,12
1,200,4,,7,2,1,3,4,5
1,200,4,1,2,,1,,4,5
